Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_15_443.jpg;0;0.8961861;0;0.09691856;100.0777;85.99798;0.4191506;30.88874;-0.0007579579
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_15_508.jpg;0;1;0;0.1554703;100.0924;86.00675;0.6919653;31.03106;-0.0004081602
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_15_576.jpg;0;1;0;0.2022395;100.1072;86.01558;0.9367198;30.92171;-0.0004641947
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_15_643.jpg;0;1;0;0.2700144;100.1248;86.02608;1.190074;31.00538;-0.002215754
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_15_709.jpg;0;1;0;0.3225569;100.1479;86.03967;1.278917;31.00561;-0.003359689
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_15_776.jpg;0;1;0;0.3785965;100.1665;86.05072;1.171959;31.14915;-0.003025553
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_15_841.jpg;0;1;0;0.4541596;100.1887;86.06406;1.117082;31.25919;-0.0002397425
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_15_910.jpg;0;1;0;0.4916005;100.2231;86.08473;1.125698;31.21972;0.001109213
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_15_977.jpg;0;1;0;0.5473267;100.2525;86.10249;1.184348;31.09807;0.001048551
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_16_044.jpg;0;1;0;0.6047955;100.2843;86.12164;1.231673;30.97783;-0.0002965947
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_16_108.jpg;0;1;0;0.6467506;100.3301;86.14881;1.234888;30.83791;-0.000264838
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_16_176.jpg;0;1;0;0.7054657;100.3667;86.17048;1.197598;30.78622;-0.0007522321
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_16_243.jpg;0;1;0;0.7760647;100.4063;86.19392;1.189309;30.83505;-0.0004977505
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_16_310.jpg;0;1;0;0.8156062;100.4636;86.22768;1.20188;30.7557;-0.0008138253
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_16_376.jpg;0;1;0;0.8670816;100.5099;86.25497;1.217882;30.80286;-0.0009145982
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_16_444.jpg;0;1;0;0.9400334;100.5589;86.28392;1.233002;30.79823;-0.0008693428
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_16_510.jpg;0;1;0;0.9945967;100.6277;86.32457;1.226145;30.78875;-0.0008703012
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_16_577.jpg;0;1;0;1.037108;100.682;86.35664;1.214988;30.79675;-0.0008183658
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_16_644.jpg;0;1;0;1.103985;100.739;86.39037;1.223832;30.81317;-0.0008660307
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_16_711.jpg;0;1;0;1.148553;100.8187;86.43744;1.224135;30.77502;-0.0005886512
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_16_777.jpg;0;1;0;1.19259;100.8812;86.47436;1.227282;30.73819;-0.0007459957
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_16_844.jpg;0;1;0;1.254011;100.9462;86.5127;1.232886;30.71463;-0.0006347676
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_16_910.jpg;0;1;0;1.302764;101.0367;86.56601;1.237704;30.68545;-0.0007097048
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_16_976.jpg;2.981363;1;0;1.350692;101.107;86.60844;1.242932;30.8337;-0.002013298
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_17_042.jpg;5.940177;1;0;1.411905;101.1787;86.65362;1.240308;31.23066;-0.003181212
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_17_110.jpg;8.964922;1;0;1.458098;101.276;86.71922;1.239723;32.19721;0.01708598
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_17_177.jpg;11.97499;1;0;1.50326;101.3496;86.77274;1.232705;33.25726;0.0524696
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_17_244.jpg;14.98523;1;0;1.560631;101.4229;86.82988;1.189531;34.59793;0.08924051
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_17_309.jpg;11.97721;1;0;1.605519;101.5217;86.91093;1.113419;36.3872;0.1277434
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_17_377.jpg;9.00491;1;0;1.65216;101.5982;86.97462;1.079563;37.46973;0.1387633
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_17_443.jpg;5.977659;1;0;1.714626;101.677;87.04073;1.080208;38.30554;0.1384137
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_17_508.jpg;2.935379;1;0;1.759551;101.7866;87.13142;1.131174;38.95892;0.09457523
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_17_575.jpg;0;1;0;1.805283;101.8725;87.20111;1.211393;39.10683;0.03174167
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_17_641.jpg;0;1;0;1.863145;101.9605;87.27267;1.299784;39.12591;-0.002908915
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_17_710.jpg;0;1;0;1.908535;102.0799;87.36998;1.330955;39.12779;-0.001489863
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_17_777.jpg;0;1;0;1.956257;102.1715;87.44409;1.304076;39.11675;-0.001220946
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_17_844.jpg;0;1;0;2.018059;102.2656;87.51998;1.287601;39.10492;-0.0006450288
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_17_910.jpg;0;1;0;2.061153;102.3947;87.62407;1.304528;39.08625;-0.001156736
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_17_977.jpg;0;1;0;2.104982;102.4939;87.70394;1.30614;39.07542;-0.001157698
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_18_044.jpg;0;1;0;2.165039;102.5951;87.78548;1.308018;39.06453;-0.001193353
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_18_110.jpg;1.501376;1;0;2.209347;102.7332;87.89707;1.312469;39.12112;-0.001785069
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_18_177.jpg;4.500622;1;0;2.252765;102.8377;87.98421;1.314999;39.49256;-0.001353748
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_18_243.jpg;7.515324;1;0;2.309813;102.942;88.07504;1.296481;40.20932;0.02192582
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_18_310.jpg;10.49578;1;0;2.350018;103.0794;88.20271;1.234832;41.75145;0.09409776
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_18_376.jpg;7.486317;1;0;2.391866;103.1824;88.30222;1.16142;42.92178;0.138772
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_18_444.jpg;4.496925;1;0;2.450888;103.2866;88.40446;1.099877;43.79855;0.1718103
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_18_509.jpg;1.522957;1;0;2.494799;103.4291;88.5442;1.066435;44.39783;0.1841819
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_18_578.jpg;0;1;0;2.53681;103.5391;88.65124;1.09163;44.49352;0.1696632
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_18_643.jpg;0;1;0;2.592628;103.6515;88.76012;1.140882;44.48891;0.1315269
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_18_709.jpg;0;1;0;2.633867;103.8044;88.90842;1.237725;44.45658;0.05426398
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_18_777.jpg;0;1;0;2.676464;103.9213;89.02203;1.326259;44.4365;-0.001097873
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_18_843.jpg;0;1;0;2.731613;104.0391;89.13763;1.384555;44.43782;-0.002554169
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_18_911.jpg;0;1;0;2.775804;104.1981;89.29295;1.359596;44.41842;-0.001514114
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_18_976.jpg;0;1;0;2.819164;104.3199;89.41137;1.344098;44.40509;-0.0008886493
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_19_042.jpg;0;1;0;2.874545;104.4438;89.53175;1.355497;44.38726;-0.001308828
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_19_110.jpg;0;1;0;2.915523;104.6118;89.69483;1.368218;44.36706;-0.001461757
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_19_178.jpg;0;1;0;2.957163;104.7399;89.81907;1.372218;44.35476;-0.001494693
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_19_243.jpg;0;1;0;3.012493;104.8697;89.94494;1.37138;44.3429;-0.001489941
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_19_310.jpg;0;1;0;3.053794;105.0456;90.11544;1.372104;44.32606;-0.001369045
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_19_376.jpg;0;1;0;3.094638;105.1797;90.24525;1.372685;44.31159;-0.001479267
